FIPS,stnName,state,stnCallSgn,lat,lon,record,perc999,perc99,perc95,perc90,perc999All,perc99All,perc95All,perc90All
30111,BILLINGS LOGAN INTL AP,MT,45.8069,-108.542,KBIL,103.7,98.6,94.9,91.2,89.1,94.0,87.7,80.3,0.0
30093,BUTTE BERT MOONEY AP,MT,45.9647,-112.501,KBTM,94.2,91.9,88.6,86.0,84.4,86.8,81.7,0.0,0.0
30031,BOZEMAN GALLATIN FLD,MT,45.7881,-111.161,KBZN,120.2,98.4,93.1,89.3,87.3,91.3,84.8,0.0,0.0
30029,KALISPELL GLACIER AP,MT,48.3042,-114.264,KFCA,101.1,95.7,91.6,88.6,86.9,89.8,83.9,0.0,0.0
30013,MALMSTROM AFB,MT,47.5167,-111.183,KGFA,119.1,109.5,95.2,90.6,88.5,93.4,86.0,0.0,0.0
30105,GLASGOW INTL AP,MT,48.2139,-106.621,KGGW,105.3,101.8,96.5,92.5,90.1,95.3,87.9,79.8,0.0
30013,GREAT FALLS INTL AP,MT,47.4733,-111.382,KGTF,99.9,97.1,93.3,89.7,87.8,91.8,85.4,0.0,0.0
30049,HELENA RGNL AP,MT,46.6056,-111.964,KHLN,100.4,97.6,93.5,89.9,87.8,92.1,85.6,0.0,0.0
30041,HAVRE CITY CO AP,MT,48.5428,-109.763,KHVR,114.6,102.2,96.2,92.1,89.8,95.0,87.7,79.5,0.0
30027,LEWISTOWN MUNI AP,MT,47.0492,-109.458,KLWT,97.8,95.7,91.7,88.4,86.6,89.7,83.7,0.0,0.0
30017,MILES CITY F WILEY FLD,MT,46.4267,-105.882,KMLS,111.0,104.3,99.0,94.5,92.1,98.6,91.1,82.2,0.0
30063,MISSOULA INTL AP,MT,46.9208,-114.092,KMSO,102.9,97.6,93.7,90.0,88.3,92.3,86.0,0.0,0.0
56025,CASPER NATRONA CO AP,WY,42.8975,-106.473,KCPR,98.3,95.3,92.5,89.5,87.7,91.8,86.8,80.3,0.0
